Region,ПКОрг,ГлобИС,ИнтОрг,ОргWS,ПКРаб,ЭДО,ПКДХ,ИнтДХ,ШПДДХ
Samara,-1.9649740140286798,-1.6887297953855305,-1.8183274082054022,-1.202893623267804,-0.00625096322175766,-1.4742534903940834,1.2936517438833905,0.413724470970595,0.3851335276834786
Saratov,-1.7089716798209391,-1.5383923258147851,-1.506396764956775,-1.202893623267804,-0.00625096322175766,-1.3393877045588436,-0.3155041849539073,-0.10422066825976933,-0.00489635796183015
Uliyanovsk,-0.17295767457449582,0.025117357720966637,-0.16955115103409393,-0.465602402827092,-0.34797028601115537,0.3525648813741629,-1.3142906235425738,-1.934293493540389,-0.7734846620275838
Kurgan,-1.179900189124943,-1.1174474110166988,-1.432127564183293,-1.1906054362604588,-0.6896896088005531,-0.9715719250081901,-1.3697787590197217,-1.4163483543100246,-0.9226137359507903
Sverdlovsk,0.5779825057682084,0.4911635133902762,0.45431013546315563,0.5788934927972502,0.33546835956764004,0.0705727837186605,-0.3987363881696288,-0.6221658074901336,0.01804657648789418
Tumen,-0.22415814141604587,-0.0951526179356313,-0.18440499118879167,-0.1092449796140813,-0.6896896088005531,-0.07655352810159949,1.8069169970470114,1.7431169949951972,1.440508512370783
Cheliabinsk,0.21957923787737257,0.20552232120585928,0.14237949221453083,0.3454179396576915,-0.17711062461645652,0.10735436167372725,0.14227293273256658,-0.15601518218280527,0.20159005208568556
Altay (resp.),0.902252129098014,1.0173446568878848,1.093025262115105,-0.060092231584700666,1.531485989330532,1.3334069601759055,0.08678479725541763,0.20654641527845122,0.6145628721807186
Buryatiya,-0.7190959875510095,-2.771159576294897,-2.6649962970231007,-2.0016257787452423,-0.00625096322175766,-2.0627587376751286,0.10065683112470387,0.3964596329962505,0.7178060772044756
Tyva,-0.44602683106275387,-0.876907459703505,-0.8231201178407389,-1.26433455830453,0.1646086981729412,1.0881964404754698,-0.3709923204310543,1.8985005367643075,1.3028509056724387
Khakassia,-0.13882403001346566,-0.39582755707712186,-0.4814817942827208,-0.010939483555320036,0.1646086981729412,-0.7263614053077545,-0.24614401560747212,-0.7775493492592415,-1.3814724249452703
Altay,-0.10469038545243312,-0.0801188709785555,-0.06557426995122041,-1.2766227453118755,-0.6896896088005531,-0.46889035962229686,-0.27388808334604464,-0.9674625669770431,-0.5211123830806202
Zabaikalie,0.8169180176954338,0.46109601947612666,0.5434331763913356,-1.5223864854587794,-0.6896896088005531,0.4874306672094018,-0.7732813026403793,-1.2609648125409143,-1.014385473749686
Krasnoyarsk,0.13424512647479236,0.10028609250633928,0.14237949221453083,-0.527043337863818,0.1646086981729412,-0.7018403533377114,-0.05193554143745278,-0.43225258977233194,-0.7390702603529982
Irkutsk,0.15131194875530746,-0.3356925692488229,-0.2586741919622739,-0.2935677847242593,-0.34797028601115537,-0.4566298336372758,-0.6345609639475088,-0.9329328910283518,-0.7390702603529982
Kemerovo,-0.5654945870263666,-0.47099629186249453,-0.5557509950562031,0.013636890459370716,-1.885707238563445,-0.8121850872029073,-0.27388808334604464,-0.6049009695157866,-0.39492624360713724
Novosibirsk,-1.7943057912235194,-1.5233585788577115,-1.506396764956775,-0.7850952650180674,1.7023456507252308,-0.6527982493976237,-0.6345609639475088,-0.43225258977233194,-0.2687401041336559
Omsk,-1.3676352342106184,-1.2828186275445177,-1.2390276421722393,-1.26433455830453,0.5063280209623389,-0.5547140415174497,0.1838890343404273,0.34466511907321457,0.62603433940558
Tomsk,-2.698847372090871,-2.1397422040977663,-2.0559888506805444,-0.3918732807830206,1.7023456507252308,-0.9347903470531251,-0.81489740424824,-0.8984032150796603,-0.15402543188503584
Sakha (Yakutiya),0.5779825057682084,-0.24549008750637658,-0.34779723289045184,-1.141452688231078,-0.00625096322175766,-0.8367061391729503,-0.6345609639475088,1.0179938000726867,0.7178060772044756
Kamchatka,1.055853529622657,0.9572096690595857,1.0336099014963183,0.7386399238927375,1.1897666665411342,0.5364727711494897,-0.45422452364677773,0.1029573874323769,-0.03931075963641583
Primorie,-0.7702964543925571,-0.6363675083903135,-0.5557509950562031,-0.6007724599078894,-0.17711062461645652,-0.5792350934874936,0.6416661520268993,0.6381673646370881,0.6719202083050286
Habarovsk,0.4243811052435655,0.5813659951327225,0.6325562173195135,0.8246572329441542,0.8480473437517366,0.7326411869098375,0.003552594039696173,-0.0006316404136949917,0.3277761915591686
Amur,-0.13882403001346566,-0.15528760576392814,-0.68943555644847,-1.3626400543632922,-0.8605492701952518,0.22995962152394508,0.07291276338613137,0.0856925494580324,0.05246097816247986
Magadan,0.3219801715604678,0.07021859859218979,0.1720871725239242,-0.6130606469152348,1.531485989330532,-0.37080615174212295,0.9607229310205008,1.933030212712999,-1.2323433510220638
Sakhalin,0.5779825057682084,0.7166697177463941,0.7513869385570848,0.5911816798045956,1.0189070051464355,0.02153067977857442,0.4197136101183074,0.5345783367910139,0.4998481999320986
Jewish,-0.10469038545243312,-0.47099629186249453,-0.68943555644847,-1.1537408752384235,0.33546835956764004,-0.6773193013676675,-0.42648045590820327,-0.2078096961058412,0.21306151931054854
Chukotka,0.3219801715604678,0.5512985012185752,0.6474100574742113,0.02592507746671609,0.1646086981729412,-1.5845982242592793,0.9329788632819263,0.20654641527845122,-4.191981895036461
